name,state,federal,agency,intra-state
Ga Senate,11938442,,,
Ga House of Representatives,19589875,,,
General Assembly,14136556,,,
Dept of Audits and Accounts,36655505,,150000,
Court of Appeals,22304557,,150000,
Judicial Council,16571037,1627367,2196311,500000
Juvenile Courts,9010048,,67486,
Prosecuting Attorneys,84786817,,,2021640
Superior Courts,75909534,,137170,
Supreme Court,14985899,,1859823,
State Accounting Office,7179760,,,22025445
Dept of Administrative Services,3758058,,37081439,177619888
Dept of Agriculture,50549559,8601145,2544771,230930
Dept of Banking and Finance ,13444308,,,
Dept of Behavioral Health & Developmental Disabilities ,1230810591,149566334,25771962,2419710
Dept of Community Affairs ,74793780,168080232,14807385,161595
Dept of Community Health ,3572602642,7806768825,220774078,4048946716
Dept of Community Supervision ,186044912,305967,171229,
Dept of Corrections,1210480569,170555,13564603,
Dept of Defense ,12761117,66345631,5758646,
Dept of Driver Services ,70428113,2844121,,
Dept of Early Care and Learning ,440545169,404798159,102000,2000000
Dept of Economic Development ,34658904,659400,,
Dept of Education ,10644827624,2098482487,25918047,
Employees' Retirement System of Ga ,35117990,,4802657,22084219
State Forestry Commission ,38862250,6074349,8589100,563087
Office of the Governor ,60389774,30430112,660531,147325
Dept of Human Services ,829564834,1102940097,28556441,2821045
Commissioner of Insurance ,21280384,425368,5000,334026
Ga Bureau of Investigation ,157993287,97558354,31732219,120594
Dept of Juvenile Justice ,350691501,7804205,40502,299805
Dept of Labor ,13929954,98068469,2938413,5632987
Dept of Law ,33230364,3597990,772051,36317074
Dept of Natural Resources ,120924135,72596152,96669289,239782
State Board of Pardons and Paroles ,18208771,,,
State Properties Commission ,,,,2100000
Ga Public Defender Council ,60651751,68300,33340000,
Dept of Public Health ,292249670,395951809,9575836,581976
Dept of Public Safety ,190813811,34462938,45456654,169000
Public Service Commission ,10048109,1343100,,
University System of Ga ,2578608885,,5620626817,16870958
Dept of Revenue ,194747794,1394876,2247671,277949
Secretary of State ,25196882,550000,4355596,
Ga Student Finance Commission ,1009423419,38650,9278261,600000
Teachers Retirement System ,220000,,,40802613
Technical College System of Ga ,373978376,158455201,375703587,4548348
Dept of Transportation ,2003209045,1600016484,98044213,
Dept of Veterans Service ,23501806,14734560,3107465,
State Board of Workers' Compensation ,19121853,,373832,
General Obligation Debt Sinking Fund ,1223649123,20104750,,
